time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130110:0700,-0.34,18.7,387.5,731.12,77.35,189.05,3.17,342,83210
20130110:0800,-0.46,18.7,228.75,538.1,60.2,188.1,3.93,345,83250
20130110:0900,-1.23,20.2,60.05,219.45,23.75,186.15,4.07,344,83290
20130110:1000,-2.82,21.7,0,0,0,183.65,3.72,340,83390
20130110:1100,-4.09,24.45,0,0,0,182.1,3.66,327,83500
20130110:1200,-4.96,25.4,0,0,0,180.35,3.93,313,83580
20130110:1300,-5.68,28.8,0,0,0,180.15,4,307,83630
20130110:1400,-6.34,30,0,0,0,180.15,3.52,298,83660
20130110:1500,-7.12,32.55,0,0,0,182.5,2.9,275,83670
20130110:1600,-7.92,33.9,0,0,0,180.95,2.9,252,83680
20130110:1700,-8.45,33.75,0,0,0,179.75,3.17,245,83680
20130110:1800,-8.84,33.6,0,0,0,176.5,3.24,245,83680
20130110:1900,-9.23,35,0,0,0,175.15,2.83,253,83670
20130110:2000,-10,35,0,0,0,173.95,2.69,255,83680
20130110:2100,-10.66,38.05,0,0,0,172.6,2.48,252,83620
20130110:2200,-11.14,39.65,0,0,0,171.85,2.07,244,83600
20130110:2300,-11.47,39.65,0,0,0,170.85,1.72,230,83600
20130111:0000,-12.51,41.2,0,0,0,169.9,1.66,214,83620
20130111:0100,-13.25,44.85,182.55,1112.51,53.1,170,1.66,202,83630
20130111:0200,-10.27,34.85,352.95,1021.28,73.45,172.25,1.38,190,83630
20130111:0300,-5.82,27.55,484.4,1007.31,84.55,173.6,1.59,170,83630
20130111:0400,-3.35,23.6,559.5,982.68,90,176.3,2.07,163,83560
20130111:0500,-1.61,23,570.1,939,90.6,177.85,2.69,171,83450
20130111:0600,-0.24,22.35,514.3,867.37,86.4,179.75,3.31,178,83330
20130111:0700,0.27,22.5,399,753.64,77.2,181.9,2.9,176,83300
20130111:0800,0.67,21.65,237.3,559.36,60.45,183.05,2.69,174,83250
20130111:0900,0.45,23.5,64.35,235.46,24.7,183.45,2.21,166,83260
20130111:1000,-0.7,25.4,0,0,0,181.5,1.79,153,83260
20130111:1100,-3,28.4,0,0,0,180.95,1.79,158,83300
20130111:1200,-4.74,33.3,0,0,0,179.75,2.07,172,83300
20130111:1300,-5.86,36.05,0,0,0,178.8,2.34,185,83280
20130111:1400,-6.9,39.1,0,0,0,177.65,2.55,194,83230
20130111:1500,-7.92,42.4,0,0,0,176.5,2.83,200,83230
20130111:1600,-8.79,46.05,0,0,0,175.7,2.83,203,83190
20130111:1700,-9.56,45.9,0,0,0,174.75,2.83,202,83170
20130111:1800,-10.32,47.85,0,0,0,174.35,2.76,204,83140
20130111:1900,-10.75,52.15,0,0,0,176.85,2.69,201,83060
20130111:2000,-11.46,54.35,0,0,0,177.85,2.69,206,83010
20130111:2100,-12.08,56.7,0,0,0,179,2.69,213,82960
20130111:2200,-12.64,64.5,0,0,0,178.25,2.62,222,82940
20130111:2300,-13.04,64.5,0,0,0,177.65,2.48,226,82980
20130112:0000,-13.4,67.3,0,0,0,176.7,2.34,223,83030
20130112:0100,-13.18,67.3,182.15,1103.9,52.75,176.2,2.34,220,83090
20130112:0200,-9.92,50.15,352.25,1015.65,73.05,178.05,2.21,217,83140
20130112:0300,-5.84,41.15,483.5,1002.25,84.05,179.95,2.14,214,83150
20130112:0400,-2.45,31.2,557.95,976.42,89.5,182.85,2.14,216,83110
20130112:0500,-0.1,24.45,568.05,931.79,90.05,186.55,2,224,83040
20130112:0600,1.29,20.7,513.9,863.16,85.8,189.45,1.79,229,82940
20130112:0700,2.06,16.05,398.7,749.08,76.7,189.85,1.24,226,82890
20130112:0800,2.24,15.3,237.9,556.75,60.2,190.8,0.9,210,82890
20130112:0900,1.98,15.9,66.1,240.02,24.95,190.4,0.76,171,82900
20130112:1000,0.74,30.7,0,0,0,188.3,0.83,134,82900
20130112:1100,-0.29,17.05,0,0,0,188.1,0.76,129,82920
20130112:1200,-1.48,18.45,0,0,0,187.3,0.76,139,82920
20130112:1300,-2.6,20.75,0,0,0,186.15,0.9,146,82920
20130112:1400,-3.78,22.45,0,0,0,184.8,0.9,132,82910
20130112:1500,-4.94,24.3,0,0,0,183.65,1.03,117,82910
20130112:1600,-6.09,27.4,0,0,0,182.3,1.17,119,82890
20130112:1700,-7.1,29.7,0,0,0,181.7,1.31,137,82850
20130112:1800,-8.4,32.25,0,0,0,180.15,1.52,152,82800
20130112:1900,-9.6,36.65,0,0,0,182.7,1.79,180,82770
20130112:2000,-10.51,38.2,0,0,0,181.9,1.93,177,82760
20130112:2100,-11.23,41.5,0,0,0,181.3,2.07,173,82700
20130112:2200,-11.79,43.3,0,0,0,181.15,2.14,172,82660
20130112:2300,-12.19,45.15,0,0,0,181.15,2.07,169,82660
20130113:0000,-12.37,43.15,0,0,0,181.5,2,165,82660
20130113:0100,-11.85,43.3,183.4,1109.67,52.25,182.2,1.86,166,82740
20130113:0200,-8.67,36.8,352.7,1015.47,72.2,184.8,1.45,169,82840
20130113:0300,-3.85,25.7,482.65,998.33,83.05,188.3,1.52,154,82890
20130113:0400,-0.58,23.25,556.45,971.25,88.45,192.95,1.93,142,82900
20130113:0500,1.62,23.8,567.2,927.38,89.2,197,2.34,145,82850
20130113:0600,2.94,25.15,514.8,861.44,85.2,199.7,2.76,152,82830
20130113:0700,3.59,24.35,400.8,749.97,76.2,199.5,2.97,147,82890
20130113:0800,3.94,24.35,240.65,560.42,60.05,200.85,2.76,143,82940
20130113:0900,3.63,25.4,68.6,246.33,25.6,200.85,2.14,136,83000
20130113:1000,2.16,31,0,0,0,198.55,1.79,123,83030
20130113:1100,-0.56,37.55,0,0,0,196.6,1.66,122,83080
20130113:1200,-1.29,34.3,0,0,0,195.85,1.38,131,83110
20130113:1300,-1.44,32.85,0,0,0,194.7,1.17,138,83120
20130113:1400,-1.93,34.15,0,0,0,193.9,0.83,138,83120
20130113:1500,-2.57,36.95,0,0,0,192.95,0.41,176,83130
20130113:1600,-6.17,48.85,0,0,0,194.3,2.07,271,83170
20130113:1700,-6.44,46.75,0,0,0,190.6,4.34,282,83230
20130113:1800,-6.95,35.75,0,0,0,191.95,5.72,295,83290
20130113:1900,-7.98,32.4,0,0,0,200.85,4.62,302,83310
20130113:2000,-8.14,35.3,0,0,0,223.15,3.79,299,83320
20130113:2100,-8.12,35.3,0,0,0,232.2,2.9,292,83290
20130113:2200,-8.3,36.95,0,0,0,227.4,2.34,274,83270
20130113:2300,-8.46,36.95,0,0,0,225.45,2.21,268,83290
