time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060924:0500,12.06,74.6,129.55,4.12,126.3,354.55,6.76,329,83580
20060924:0600,12.36,74.6,193.25,19.63,178.4,354.75,6.69,331,83570
20060924:0700,12.83,72.05,128.85,12.59,120.4,357.25,5.66,342,83560
20060924:0800,12.69,72.05,98.95,6.38,95.5,354.35,4.48,343,83570
20060924:0900,12.56,74.7,47.9,4.03,46.4,349.3,3.52,342,83550
20060924:1000,12.4,77.35,13.05,0.56,12.95,347,2.41,334,83570
20060924:1100,12.25,77.35,0,0,0,347.4,1.31,309,83640
20060924:1200,12.03,80.15,0,0,0,340.8,1.24,253,83660
20060924:1300,11.64,83.1,0,0,0,326.85,1.72,230,83710
20060924:1400,10.97,86.05,0,0,0,300.35,2.14,220,83720
20060924:1500,10.27,86,0,0,0,283.7,2.28,212,83710
20060924:1600,9.68,89.15,0,0,0,280.8,2.28,209,83670
20060924:1700,9.14,85.95,0,0,0,279.65,2.14,204,83600
20060924:1800,8.61,85.95,0,0,0,277.9,2.07,198,83570
20060924:1900,7.99,92.4,0,0,0,282.15,1.79,190,83550
20060924:2000,7.95,92.4,0,0,0,297.05,1.59,174,83520
20060924:2100,7.99,92.4,0,0,0,303.45,1.45,162,83470
20060924:2200,8,89.1,0,0,0,304.4,1.38,155,83460
20060924:2300,7.9,92.4,42.3,0,42.3,297.85,1.52,148,83480
20060925:0000,8.96,92.45,227.95,541.06,108.1,293.95,1.31,146,83500
20060925:0100,11.56,77.3,421.1,679.11,142.4,303.35,1.66,138,83540
20060925:0200,13.4,67.05,562.55,686.99,170.45,307.5,2.07,139,83530
20060925:0300,14.96,62.65,681.75,671.5,217.3,315.45,2.48,139,83530
20060925:0400,16.18,56.5,710.3,610.16,243.6,324.35,2.48,131,83500
20060925:0500,17.09,52.75,643.75,467.26,276.75,330.95,2.69,123,83430
20060925:0600,17.71,51,380.85,121.03,289.85,341,2.69,118,83380
20060925:0700,16.85,56.6,264.4,72.01,216.4,355.3,2.34,125,83340
20060925:0800,16.79,56.6,174.65,40.63,152.9,359.95,2,128,83340
20060925:0900,16.49,58.6,87.7,22.08,79.6,357.25,1.72,114,83320
20060925:1000,15.96,62.85,17.6,0,17.6,353.95,1.66,101,83320
20060925:1100,14.95,69.85,0,0,0,347.4,1.59,95,83340
20060925:1200,14.21,74.95,0,0,0,341.75,1.59,105,83370
20060925:1300,13.44,83.25,0,0,0,327.25,1.38,127,83430
20060925:1400,12.69,86.25,0,0,0,322.4,1.1,143,83450
20060925:1500,12.46,86.2,0,0,0,311.75,0.9,147,83410
20060925:1600,12.2,83.15,0,0,0,306.15,0.83,152,83370
20060925:1700,11.67,86.15,0,0,0,300.95,0.9,146,83330
20060925:1800,10.95,89.25,0,0,0,297.05,1.03,135,83300
20060925:1900,9.95,95.85,0,0,0,305,1.31,133,83280
20060925:2000,9.61,92.45,0,0,0,302.1,1.31,127,83250
20060925:2100,9.26,92.45,0,0,0,303.65,1.38,118,83250
20060925:2200,8.81,95.85,0,0,0,298.2,1.52,111,83250
20060925:2300,8.71,92.45,48.25,0,48.25,303.65,1.72,112,83240
20060926:0000,9.86,95.85,203.8,396.06,117.25,309.45,1.52,115,83270
20060926:0100,12.42,83.15,386.4,548.06,163.2,312.45,2.07,118,83310
20060926:0200,14.24,69.75,547.25,614.92,198.35,314.65,2.9,126,83300
20060926:0300,15.75,62.85,584.45,500.56,240.05,319.9,3.38,125,83310
20060926:0400,16.93,58.7,606.45,472.9,246.6,331.5,3.72,118,83280
20060926:0500,17.83,54.85,543.95,394.67,235.65,335.4,4.34,118,83240
20060926:0600,18.35,51.15,346.25,139.16,242.25,343.7,4.69,118,83200
20060926:0700,17.07,56.6,269.3,129.29,183.75,352,4.41,126,83230
20060926:0800,16.64,54.6,172.8,40.84,151.15,361.5,4.07,124,83210
20060926:0900,16.02,60.65,79.25,35.67,66.35,353.75,3.79,124,83230
20060926:1000,15.29,65.05,17.1,34.59,11.3,359.2,3.1,122,83250
20060926:1100,14.37,69.75,0,0,0,349.1,2.62,118,83280
20060926:1200,13.65,74.85,0,0,0,347.95,2.41,110,83340
20060926:1300,13.16,77.5,0,0,0,351.05,2,110,83390
20060926:1400,12.75,80.3,0,0,0,348.35,1.38,105,83430
20060926:1500,12.41,83.15,0,0,0,348.75,1.1,87,83430
20060926:1600,12.15,83.15,0,0,0,349.5,1.03,77,83420
20060926:1700,11.87,86.15,0,0,0,346.6,0.97,79,83390
20060926:1800,11.66,86.15,0,0,0,347.55,0.83,73,83380
20060926:1900,11.22,92.55,0,0,0,333.45,0.55,76,83380
20060926:2000,11.09,89.3,0,0,0,335,0.28,61,83380
20060926:2100,10.73,92.5,0,0,0,324.15,0.48,338,83370
20060926:2200,10.49,95.9,0,0,0,330.55,0.83,328,83430
20060926:2300,10.34,95.9,29.65,0,29.65,329.95,1.1,323,83440
20060927:0000,10.81,92.5,125.4,225.27,76.85,326.1,1.31,320,83490
20060927:0100,11.75,83.1,214.25,129.92,161.75,340.5,1.52,329,83530
20060927:0200,12.63,74.7,289.75,96.45,235.35,344.1,1.52,343,83560
20060927:0300,13.39,72.1,302.25,86.36,243.15,346,1.79,0,83570
20060927:0400,14.06,67.25,352.15,86.79,286.45,357.85,2,18,83580
20060927:0500,14.56,64.95,304.1,70.41,249.4,359.75,2.28,31,83550
20060927:0600,14.73,67.35,351.65,113.71,267.2,360.35,2.62,42,83520
20060927:0700,15.66,60.65,238.85,66.84,194.95,371.2,2.97,55,83470
20060927:0800,15.65,60.65,222.3,93.99,172.95,368.45,2.9,63,83460
20060927:0900,15.77,60.65,133.35,102.27,96.9,359.2,2.97,70,83470
20060927:1000,15.44,62.75,23.7,17.25,20.9,335.95,2.76,74,83470
20060927:1100,14.69,67.35,0,0,0,342.15,1.93,69,83480
20060927:1200,14.1,72.3,0,0,0,337.5,1.52,68,83520
20060927:1300,13.19,83.25,0,0,0,324.35,1.17,79,83570
20060927:1400,13.54,72.1,0,0,0,314.5,0.69,100,83590
20060927:1500,13.39,72.1,0,0,0,327.65,0.55,155,83590
20060927:1600,12.59,77.45,0,0,0,320.1,0.83,184,83600
20060927:1700,11.56,83.1,0,0,0,310.05,1.03,166,83530
20060927:1800,11.32,83.05,0,0,0,300.55,0.97,156,83500
20060927:1900,10.1,89.2,0,0,0,290.65,1.17,151,83450
20060927:2000,9.4,89.15,0,0,0,288.35,1.31,141,83420
20060927:2100,8.93,92.45,0,0,0,288.35,1.31,129,83390
20060927:2200,8.77,89.1,0,0,0,287.2,1.17,125,83420
20060927:2300,8.36,92.4,39.2,0,39.2,287.6,1.24,123,83410
20060928:0000,9.13,92.45,209.9,448.97,114.5,297.45,0.97,113,83460
20060928:0100,12.17,83.15,329.2,288.49,213.55,311.3,1.31,103,83500
20060928:0200,13.94,74.85,415.85,215.59,295,326.3,1.86,108,83530
20060928:0300,15.25,67.45,519.3,286.5,324.3,334.6,2.48,112,83550
20060928:0400,16.3,60.75,460.55,168.34,333.8,341.2,2.76,112,83540
20060928:0500,16.9,58.7,374,40.58,342.65,346.8,2.9,107,83500
20060928:0600,17.1,56.75,428.2,189.21,288.55,353,3.1,101,83460
20060928:0700,18.4,47.55,361.8,210,224.9,344.1,3.72,98,83430
20060928:0800,18.5,47.55,249.2,185.22,152.9,335.55,3.93,97,83400
20060928:0900,18.13,47.55,163.8,223,85.5,345.05,3.79,93,83380
20060928:1000,17.58,52.75,29.75,75.8,17.85,323.75,3.45,84,83390
20060928:1100,16,60.65,0,0,0,314.1,3.1,69,83430
20060928:1200,14.63,64.95,0,0,0,307.9,3.1,69,83470
20060928:1300,13.57,67.15,0,0,0,303.45,3.1,78,83500
20060928:1400,12.79,69.45,0,0,0,305.55,2.83,84,83560
20060928:1500,12.12,71.95,0,0,0,305.95,2.62,92,83580
20060928:1600,11.3,80.1,0,0,0,302.65,2.21,94,83530
20060928:1700,10.53,83,0,0,0,300.95,1.79,96,83500
20060928:1800,10.08,86,0,0,0,304.6,1.52,106,83490
20060928:1900,10.47,82.95,0,0,0,303.05,1.1,133,83490
20060928:2000,10.68,83,0,0,0,311.2,0.9,138,83480
20060928:2100,10.72,83,0,0,0,309.65,0.69,124,83460
20060928:2200,10.4,86,0,0,0,313.7,0.83,109,83500
20060928:2300,10.27,86,34.05,0,34.05,312.95,0.62,108,83530
20060929:0000,10.4,89.2,149.1,121.52,123.65,318.95,0.48,101,83590
20060929:0100,11.92,83.1,217.25,110.15,173.45,323.9,0.62,103,83630
20060929:0200,13.21,77.5,314.6,146.83,232.8,338.1,0.62,97,83650
20060929:0300,14.39,72.3,309.3,60.2,268.55,344.85,0.34,78,83690
20060929:0400,14.88,72.4,281.95,36.12,254.9,353.4,0.34,335,83680
20060929:0500,15.06,72.4,199.25,5.01,195.4,358.8,1.03,331,83670
20060929:0600,15.08,72.45,164.7,3.75,161.95,367.1,1.79,335,83630
20060929:0700,14.79,72.4,128.4,0.54,128.05,363.85,2.55,2,83620
20060929:0800,14.57,75,74.8,0,74.8,359.2,1.72,20,83620
20060929:0900,14.4,77.65,54.05,3.33,52.9,360.35,0.9,56,83610
20060929:1000,14.25,77.65,11.4,0,11.4,352.4,1.03,96,83590
20060929:1100,13.72,83.35,0,0,0,343.9,0.97,108,83620
20060929:1200,13.09,86.3,0,0,0,328.8,0.62,109,83680
20060929:1300,11.98,95.9,0,0,0,304.4,0.83,134,83700
20060929:1400,11.23,95.9,0,0,0,310.8,1.03,155,83730
20060929:1500,10.59,95.9,0,0,0,302.5,1.03,170,83720
20060929:1600,9.9,99.4,0,0,0,298.6,1.24,169,83690
20060929:1700,9.33,95.85,0,0,0,298.2,1.38,172,83660
20060929:1800,8.84,99.4,0,0,0,294.55,1.52,176,83630
20060929:1900,8.19,95.85,0,0,0,287.2,1.59,179,83560
20060929:2000,7.7,95.8,0,0,0,284.5,1.66,177,83520
20060929:2100,7.22,95.8,0,0,0,282.95,1.66,177,83510
20060929:2200,7.01,95.8,0,0,0,287.95,1.72,180,83540
20060929:2300,6.96,99.4,36.8,0,36.8,310.6,1.66,180,83540
20060930:0000,7.3,95.8,136.8,92.08,117.8,326.1,1.59,184,83580
20060930:0100,9.26,95.85,303.55,270.68,196.8,335.1,1.59,182,83620
20060930:0200,11.07,92.55,479.25,411.95,251.2,341.2,1.93,179,83630
20060930:0300,13.25,83.25,683.5,709.71,205.8,322.2,1.93,175,83670
20060930:0400,15.43,72.45,730.6,769.96,157.15,301.5,2,170,83630
20060930:0500,16.98,65.35,787.1,868.42,123.85,301.9,1.93,161,83580
20060930:0600,18.08,56.85,704.55,797.85,123.15,302.65,1.52,154,83510
20060930:0700,19.02,47.65,569.95,719.81,107.8,307.1,1.17,142,83470
20060930:0800,19.35,42.85,392.55,588.72,92.5,305.4,1.03,120,83430
20060930:0900,19.32,41.3,194.25,387.99,62.1,301.9,1.24,93,83410
20060930:1000,18.8,42.7,29.45,93.61,15.75,299.95,1.72,84,83410
20060930:1100,17.29,50.85,0,0,0,295.3,2.07,85,83430
20060930:1200,15.49,62.75,0,0,0,291.25,2.41,90,83480
20060930:1300,14.06,64.85,0,0,0,290.3,2.62,97,83530
20060930:1400,12.78,74.7,0,0,0,287.6,2.48,106,83550
20060930:1500,11.65,77.3,0,0,0,287.2,1.93,115,83560
20060930:1600,7.2,89.21,0,0,0,266.29,0.6,121,83540
20060930:1700,7.97,86.85,0,0,0,268.9,0.82,124,83500
20060930:1800,8.74,84.48,0,0,0,271.51,1.03,131,83500
20060930:1900,9.51,82.12,0,0,0,274.12,1.24,137,83470
20060930:2000,10.28,79.75,0,0,0,276.73,1.45,150,83440
20060930:2100,11.05,77.39,0,0,0,279.34,1.66,162,83410
20060930:2200,11.83,75.03,0,0,0,281.95,1.88,172,83430
20060930:2300,12.6,72.66,28.9,0,28.9,284.56,2.09,179,83430
20061001:0000,13.37,70.3,250.1,880.02,71.25,287.17,2.3,180,83450
20061001:0100,14.14,67.93,446.65,902.88,93.55,289.78,2.51,167,83470
20061001:0200,14.91,65.57,613.8,924.49,105.3,292.39,2.72,158,83430
20061001:0300,15.68,63.2,727.85,913.91,116.2,295,2.94,160,83420
20061001:0400,16.45,60.84,781.65,892.13,120.9,297.61,3.15,160,83380
20061001:0500,17.23,58.47,770.7,857.36,119.7,300.22,3.36,161,83310
20061001:0600,18,56.11,698,804.85,115.3,302.83,3.57,163,83250
20061001:0700,18.77,53.74,552.2,679.89,119.05,305.44,3.78,162,83220
20061001:0800,21.06,44.7,367.5,530.89,99.65,317.75,2.76,154,83190
20061001:0900,20.92,44.7,163.2,275.99,70.65,317.4,2.07,147,83190
20061001:1000,20.24,47.9,20.4,37.93,15.05,318.95,1.24,154,83210
20061001:1100,18.87,59.15,0,0,0,327.25,0.76,166,83250
20061001:1200,17.61,61.05,0,0,0,323.4,0.76,147,83310
20061001:1300,15.77,70,0,0,0,310.4,1.24,165,83340
20061001:1400,14.33,74.95,0,0,0,301.9,1.52,197,83340
20061001:1500,12.96,83.25,0,0,0,297.45,1.86,208,83350
20061001:1600,11.95,86.15,0,0,0,294.95,2.14,215,83330
20061001:1700,11.04,86.1,0,0,0,291.45,2.14,222,83310
20061001:1800,10.23,89.2,0,0,0,288.75,2.07,224,83310
20061001:1900,9.45,89.15,0,0,0,285.85,2,226,83290
20061001:2000,8.84,89.1,0,0,0,281.75,2,228,83280
20061001:2100,8.32,89.1,0,0,0,280.6,2,231,83280
20061001:2200,7.87,89.05,0,0,0,278.65,2,231,83300
20061001:2300,7.48,92.35,0,0,0,279.05,2.07,230,83340
20061002:0000,8.28,89.1,239.45,819.85,75.4,276.75,1.79,229,83370
20061002:0100,12.12,80.2,435,860.48,101.35,281.9,1.79,228,83420
20061002:0200,15,67.35,599.15,875.28,120.85,284.65,1.86,242,83430
20061002:0300,17.4,54.7,721.7,910.65,115.75,294.75,2.07,278,83460
20061002:0400,19.24,42.85,786.15,915.51,111.9,301.3,2.62,324,83450
20061002:0500,20.37,37.1,723.2,772.81,139.85,305.4,3.24,356,83400
20061002:0600,20.87,33.3,626.45,666.95,146.75,311.95,4.07,15,83350
20061002:0700,20.66,32.1,457.25,462.65,164.8,322.8,4.21,34,83330
20061002:0800,20.2,33.15,220.9,213.36,114.35,332.3,4.83,38,83330
20061002:0900,19.17,35.6,103.9,90.73,73.95,347.4,5.1,36,83370
20061002:1000,18.01,39.4,13.4,11.78,11.8,340.8,4.69,31,83390
20061002:1100,16.42,43.65,0,0,0,328.05,4.07,17,83450
20061002:1200,15.41,48.55,0,0,0,340.4,3.66,358,83530
20061002:1300,14.18,53.95,0,0,0,340,3.93,330,83610
20061002:1400,12.88,64.55,0,0,0,338.65,3.45,310,83680
20061002:1500,11.96,71.85,0,0,0,341,2.62,298,83690
20061002:1600,11.42,77.2,0,0,0,339.05,2,273,83700
20061002:1700,11.11,77.2,0,0,0,338.65,2.07,244,83650
20061002:1800,10.82,80.05,0,0,0,333.85,2.69,224,83640
20061002:1900,10.66,77.15,0,0,0,332.65,3.31,218,83630
20061002:2000,10.49,79.95,0,0,0,332.85,3.1,215,83610
20061002:2100,10.3,79.95,0,0,0,327.45,3.03,214,83610
20061002:2200,10.14,79.95,0,0,0,324.95,2.83,212,83630
20061002:2300,9.84,82.9,0,0,0,317.4,2.55,211,83650
20061003:0000,10,82.9,118.45,276.74,63.95,306.35,2.41,213,83690
20061003:0100,11.59,69.25,372,593.8,143.75,307.25,2.9,214,83720
20061003:0200,13.47,62.3,477.95,672.48,112.9,286.8,3.52,213,83730
20061003:0300,14.93,54.1,668.55,810.2,132.6,292.6,4,200,83730
20061003:0400,15.92,50.5,637.7,687.17,134.5,292.05,3.93,190,83700
20061003:0500,16.38,47,724.85,793.3,129.6,305.4,3.52,186,83630
20061003:0600,16.89,45.45,604.9,674.75,122.8,306.75,2.69,179,83540
20061003:0700,17.58,42.3,537.25,694.43,101.75,304.05,2.07,164,83490
20061003:0800,17.75,40.9,365.4,536.58,100.2,300.35,1.86,146,83450
20061003:0900,17.62,39.4,154.85,262.42,69.6,300.15,1.38,129,83420
20061003:1000,17.06,42.15,20.35,48.64,14,304.6,0.9,128,83430
20061003:1100,16.22,47,0,0,0,302.5,0.9,131,83450
20061003:1200,14.51,67.25,0,0,0,295.1,0.97,157,83500
20061003:1300,13.2,67.05,0,0,0,286.4,1.24,183,83530
20061003:1400,11.76,71.85,0,0,0,282.35,1.66,193,83560
20061003:1500,10.69,77.15,0,0,0,280.8,1.86,194,83540
20061003:1600,9.81,79.9,0,0,0,277.7,1.93,195,83530
20061003:1700,9.09,79.9,0,0,0,275.6,2.07,199,83480
20061003:1800,8.51,82.85,0,0,0,274.4,2.21,203,83470
20061003:1900,7.9,85.85,0,0,0,270.55,2.07,206,83430
20061003:2000,7.34,85.8,0,0,0,270.15,2.07,204,83400
20061003:2100,6.81,89,0,0,0,269.75,1.93,195,83360
20061003:2200,6.54,85.75,0,0,0,268.4,1.72,186,83340
20061003:2300,6.41,88.95,0,0,0,266.85,1.59,185,83360
20061004:0000,7.19,89,209.1,513.54,109.6,271.9,1.31,184,83380
20061004:0100,10.93,77.15,361.15,461.03,185.5,281.7,1.24,187,83450
20061004:0200,13.42,64.65,484.5,444.18,245,295.5,1.45,180,83480
20061004:0300,14.99,58.25,558.45,378.97,309.25,304.4,1.79,174,83500
20061004:0400,16.14,52.5,629.65,410.14,331.05,312.95,2.14,170,83470
20061004:0500,17.02,48.9,641.5,446.28,308.65,317.75,2.21,168,83400
20061004:0600,17.7,45.7,600.45,581.08,188.05,321.65,2.14,168,83330
20061004:0700,18.36,41.05,484.95,494.98,177,308.5,2.21,167,83250
20061004:0800,18.45,41.05,321.1,432.83,109.4,307.7,1.86,171,83230
20061004:0900,18.27,39.55,150.55,224.62,78.75,308.3,1.52,161,83180
20061004:1000,17.75,44.05,17.85,35.11,13.45,306.35,1.52,176,83180
20061004:1100,16.69,48.9,0,0,0,318.55,1.38,195,83220
20061004:1200,15.31,62.75,0,0,0,317,1.52,204,83290
20061004:1300,14.11,69.75,0,0,0,318.15,1.66,208,83310
20061004:1400,13.09,74.75,0,0,0,310.8,1.72,211,83350
20061004:1500,12.41,77.35,0,0,0,312.95,1.52,210,83350
20061004:1600,11.86,77.3,0,0,0,301.7,1.38,207,83300
20061004:1700,11.06,77.2,0,0,0,291.65,1.45,214,83280
20061004:1800,10.47,82.95,0,0,0,291.65,1.45,217,83250
20061004:1900,9.61,85.95,0,0,0,297.65,1.52,210,83250
20061004:2000,9.24,82.9,0,0,0,294.15,1.59,209,83210
20061004:2100,9.07,82.9,0,0,0,300.15,1.52,204,83160
20061004:2200,8.66,82.85,0,0,0,292.4,1.66,205,83140
20061004:2300,8.46,85.9,0,0,0,297.85,1.66,200,83150
20061005:0000,8.77,85.95,221.35,710.87,85.9,286.05,1.52,202,83160
20061005:0100,12.53,74.6,407.65,763.83,119.25,293.3,1.17,192,83230
20061005:0200,15,62.65,575.05,814.93,138.65,299.2,1.38,180,83260
20061005:0300,16.66,56.6,690.1,842.42,139.5,301.5,2.14,180,83260
20061005:0400,17.97,52.9,715.45,759.97,165.4,308.65,2.41,174,83220
20061005:0500,18.74,47.65,708.35,732.17,165.6,313.9,2.48,172,83150
20061005:0600,19.33,44.45,609,581.06,199.4,321.85,2.55,170,83080
20061005:0700,19.74,39.95,479,479.3,183.2,323.75,2.9,176,83040
20061005:0800,19.79,39.95,317.95,368.72,139.5,318.15,2.97,174,82980
20061005:0900,19.54,41.3,108.1,68.22,86.65,322.05,2.9,169,82960
20061005:1000,18.72,44.3,11.45,6.24,10.7,329.95,1.86,178,82980
20061005:1100,17.87,49.15,0,0,0,339.45,1.45,186,83030
20061005:1200,16.38,62.95,0,0,0,322.6,1.52,182,83090
20061005:1300,15.14,67.45,0,0,0,324.15,1.72,180,83130
20061005:1400,13.99,74.85,0,0,0,318.15,1.72,180,83160
20061005:1500,13.07,77.5,0,0,0,313.7,1.86,180,83150
20061005:1600,12.63,77.45,0,0,0,319.3,2.07,181,83140
20061005:1700,12.22,77.35,0,0,0,317.2,2.14,185,83120
20061005:1800,11.78,80.15,0,0,0,317.55,2.28,188,83110
20061005:1900,11.31,80.1,0,0,0,316.8,2.07,199,83130
20061005:2000,10.74,83,0,0,0,308.5,2.14,217,83160
20061005:2100,10.36,82.95,0,0,0,302.3,2.76,252,83200
20061005:2200,10.35,69,0,0,0,287,7.79,302,83390
20061005:2300,8.98,52.7,0,0,0,301.3,8.14,316,83470
20061006:0000,9.03,52.85,165.2,317.13,105.8,304.2,6.83,318,83550
20061006:0100,9.86,52.85,344.5,565.47,132.95,294.85,6.83,321,83650
20061006:0200,10.79,45.55,458.1,467.29,209.6,290.5,7.45,326,83700
20061006:0300,11.68,39.25,626.75,586.91,245.5,303.05,7.38,329,83690
20061006:0400,12.86,33.8,626.7,410.22,331.55,295.7,6.97,332,83630
20061006:0500,13.71,31.55,625.75,437.89,303.15,304.2,6.21,337,83570
20061006:0600,14.3,29.25,571.75,436,266.5,295.7,5.31,343,83490
20061006:0700,14.66,28.25,426.5,301.72,241.8,291.25,3.59,355,83420
20061006:0800,14.7,27.2,252.05,141.49,184.3,297.45,2.69,8,83340
20061006:0900,14.45,27.05,109.75,57.39,92,296.85,2,28,83310
20061006:1000,13.99,29.15,12.3,1.74,12.1,297.05,1.66,52,83290
20061006:1100,13.24,32.65,0,0,0,296.5,1.24,76,83320
20061006:1200,12.06,51.5,0,0,0,294.95,1.24,101,83370
20061006:1300,11,61.75,0,0,0,293.55,1.24,136,83390
20061006:1400,10.26,64,0,0,0,295.9,1.38,142,83410
20061006:1500,9.58,63.9,0,0,0,293.75,1.45,135,83380
20061006:1600,9.01,61.55,0,0,0,288.95,1.45,138,83330
20061006:1700,8.46,63.7,0,0,0,283.1,1.45,140,83260
20061006:1800,7.71,66.05,0,0,0,278.5,1.59,140,83200
20061006:1900,7.19,63.5,0,0,0,270.15,1.66,139,83140
20061006:2000,6.78,65.85,0,0,0,274.4,1.66,144,83100
20061006:2100,6.52,68.4,0,0,0,284.65,1.59,154,83050
20061006:2200,6.22,73.7,0,0,0,285.85,1.66,157,83050
20061006:2300,5.92,76.5,0,0,0,281.2,1.59,153,83060
20061007:0000,6.38,79.5,215.6,753.9,76.85,276.95,1.45,155,83090
20061007:0100,10.11,61.65,417.5,872.71,94.05,274.15,1.1,167,83140
20061007:0200,12.97,51.65,581.5,898.32,107.15,278.85,0.9,205,83200
20061007:0300,14.64,48.4,694.6,894.03,117.45,287,1.38,235,83230
20061007:0400,15.93,45.15,752.75,887.06,118.35,293.2,1.86,263,83210
20061007:0500,17,42.15,745.1,858.52,116.55,299.2,2.76,285,83170
20061007:0600,17.89,35.2,621.6,699.85,135,298.4,3.93,301,83150
20061007:0700,18.29,28.1,476.4,499.79,172.95,299.4,6.14,316,83140
20061007:0800,18.01,24.9,287.05,295.32,147.15,303.85,7.31,324,83170
20061007:0900,17.11,23.8,117.75,104.4,86,301.7,7.59,329,83220
20061007:1000,15.91,25.35,11.8,5.92,11.15,300.35,6.97,331,83280
20061007:1100,14.8,26.1,0,0,0,300.15,6.21,330,83380
20061007:1200,14.06,27.05,0,0,0,301.9,6.48,327,83510
20061007:1300,13.15,29,0,0,0,293.95,7.52,320,83620
20061007:1400,12.32,31.1,0,0,0,303.45,7.93,318,83720
20061007:1500,11.74,31,0,0,0,318.75,7.24,316,83790
20061007:1600,10.99,34.6,0,0,0,317.75,5.31,304,83810
20061007:1700,10.25,38.85,0,0,0,316.6,3.79,273,83770
20061007:1800,9.48,43.55,0,0,0,305,3.52,247,83760
20061007:1900,8.36,50.6,0,0,0,281,3.38,234,83760
20061007:2000,7.56,52.45,0,0,0,260.1,3.24,222,83740
20061007:2100,6.75,56.45,0,0,0,244.05,3.03,212,83680
20061007:2200,5.91,60.75,0,0,0,239.75,2.9,206,83670
20061007:2300,5.04,65.55,0,0,0,239.4,2.69,202,83680
20061008:0000,5.27,68.1,234.7,919.47,68.5,240.95,2.48,196,83700
20061008:0100,9.02,52.85,431.8,927.24,91.4,247.45,2.76,190,83720
20061008:0200,11.86,44.1,598.4,940.18,105.5,255.45,4.34,196,83690
20061008:0300,14.11,38.45,715.1,936.95,114.05,262.2,5.31,203,83670
20061008:0400,16.25,33.5,770.45,918.51,117.55,269.4,5.1,209,83600
20061008:0500,17.86,23.95,757.9,881.48,116.6,274.05,4,218,83540
20061008:0600,18.76,19.85,679.4,823.8,110.6,276.55,3.03,236,83460
20061008:0700,19.29,17.75,541.35,733.03,99.95,275.75,3.17,244,83390
20061008:0800,19.47,18.45,358.55,587.78,83.1,275.95,3.03,231,83330
20061008:0900,19.26,19.2,157.1,342.5,54.7,275.2,2.9,211,83310
20061008:1000,18.31,24.05,14.1,50.11,8.85,274.05,2.48,188,83300
20061008:1100,16.76,29.95,0,0,0,272.85,2.21,169,83310
20061008:1200,15.12,38.7,0,0,0,271.9,2.21,161,83350
20061008:1300,13.18,49.85,0,0,0,271.1,2.07,162,83340
20061008:1400,11.45,59.6,0,0,0,269,2,174,83330
20061008:1500,10.15,61.65,0,0,0,268.2,2.14,184,83320
20061008:1600,9.11,61.55,0,0,0,267.85,2.28,189,83300
20061008:1700,8.27,63.7,0,0,0,267.45,2.48,190,83240
20061008:1800,7.59,66.05,0,0,0,266.65,2.62,188,83200
20061008:1900,7.11,65.95,0,0,0,265.1,2.62,187,83180
20061008:2000,6.51,68.4,0,0,0,263.95,2.62,189,83140
20061008:2100,5.95,73.65,0,0,0,261.85,2.62,190,83120
20061008:2200,5.45,76.4,0,0,0,260.1,2.55,192,83120
20061008:2300,4.95,79.3,0,0,0,258.55,2.48,196,83130
20061009:0000,5.39,79.35,228.15,906.47,67.3,257.75,2.14,212,83180
20061009:0100,9.58,63.9,424.05,918.27,90.2,261,2.07,239,83280
20061009:0200,13.05,46.2,588.9,930.83,104.45,268.2,3.03,254,83360
20061009:0300,15.72,36,703.8,926.81,113.05,275.95,3.93,276,83400
20061009:0400,18.17,23.15,757.95,907.7,116.7,281.95,5.24,316,83400
20061009:0500,19.95,16.5,747.05,873.01,115.95,283.7,6.41,338,83370
20061009:0600,20.76,14.1,673.65,820.56,111.05,283.1,6.69,344,83350
20061009:0700,20.39,14.6,535.2,729.2,99.75,277.9,6.55,343,83320
20061009:0800,20.13,14.6,347.25,569.74,83.15,277.3,6.21,345,83330
20061009:0900,19.5,15.7,151,328.2,54.55,276.75,5.52,347,83350
20061009:1000,18.35,18.25,12.45,43.12,8.15,274.2,4.14,351,83400
20061009:1100,16.76,21,0,0,0,272.3,2.76,359,83460
20061009:1200,15.08,35.85,0,0,0,270.75,1.52,8,83540
20061009:1300,15.11,23.3,0,0,0,268.8,0.48,14,83590
20061009:1400,14.18,24.95,0,0,0,268.2,0.69,231,83600
20061009:1500,11.64,37.75,0,0,0,268.4,1.38,237,83630
20061009:1600,10.53,40.55,0,0,0,268.4,1.38,248,83620
20061009:1700,9.82,43.55,0,0,0,272.85,1.31,251,83600
20061009:1800,8.74,48.8,0,0,0,277.7,1.52,237,83580
20061009:1900,9.13,45.25,0,0,0,292.2,1.45,219,83540
20061009:2000,8.48,50.6,0,0,0,289.5,1.59,214,83530
20061009:2100,8.18,50.6,0,0,0,291.65,1.66,208,83520
20061009:2200,7.64,54.55,0,0,0,281,1.79,208,83530
20061009:2300,6.89,56.45,0,0,0,265.7,1.93,206,83560
20061010:0000,6.8,58.65,224,896.84,67.85,263.95,1.93,203,83580
20061010:0100,10.36,59.35,419.75,921.13,88.15,264.65,1.31,198,83630
20061010:0200,15.1,28.4,583.6,930.59,102.85,270.55,1.38,188,83660
20061010:0300,17.36,22.9,697.15,922.5,112.95,277.5,1.79,188,83700
